FID,OBJECTID,BARRIO,COD_BARRIO,DISTRITO,H0A4,H5A9,H10A14,H15A19,H20A24,H25A29,H30A34,H35A39,H40A44,H45A49,H50A54,H55A59,H60A64,H65A69,H70A74,H75A79,H80A84,H85A89,H90A94,H95A99,HMAS100,HOMBRES,M0A4,M5A9,M10A14,M15A19,M20A24,M25A29,M30A34,M35A39,M40A44,M45A49,M50A54,M55A59,M60A64,M65A69,M70A74,M75A79,M80A84,M85A89,M90A94,M95A99,MMAS100,MUJERES,AREA,TOTAL,UTM_X,UTM_Y,GRAD_X,GRAD_Y
10.0,11.0,EL TABLERO,64,SUROESTE,28.0,44.0,67.0,48.0,48.0,54.0,59.0,71.0,60.0,84.0,80.0,50.0,48.0,31.0,33.0,22.0,17.0,9.0,3.0,0.0,0.0,856.0,35.0,46.0,47.0,53.0,52.0,49.0,66.0,69.0,77.0,77.0,74.0,39.0,52.0,44.0,37.0,31.0,28.0,9.0,5.0,2.0,1.0,893.0,2465367.06796,1749.0,369321.348841,3145258.94327,-16.3343155933,28.4272680067
11.0,12.0,EL CHORRILLO,24,SUROESTE,10.0,20.0,16.0,16.0,6.0,22.0,32.0,35.0,33.0,24.0,24.0,13.0,11.0,13.0,10.0,7.0,10.0,4.0,0.0,0.0,0.0,306.0,12.0,17.0,14.0,14.0,10.0,26.0,28.0,24.0,36.0,19.0,16.0,16.0,19.0,12.0,11.0,8.0,5.0,2.0,1.0,1.0,0.0,291.0,1376876.99266,597.0,371011.962167,3144575.22296,-16.3169805508,28.421265772
12.0,13.0,MORADITAS,47,OFRA - COSTA SUR,16.0,25.0,28.0,28.0,26.0,27.0,33.0,40.0,50.0,55.0,47.0,42.0,19.0,29.0,27.0,12.0,9.0,7.0,1.0,0.0,1.0,522.0,18.0,25.0,32.0,25.0,15.0,35.0,29.0,29.0,45.0,39.0,34.0,28.0,33.0,23.0,25.0,14.0,14.0,8.0,4.0,2.0,0.0,477.0,1125600.40913,999.0,373686.574957,3146520.08646,-16.2898910406,28.4390786123
13.0,14.0,MAYORAZGO,44,OFRA - COSTA SUR,10.0,18.0,30.0,47.0,22.0,53.0,31.0,25.0,23.0,17.0,24.0,19.0,16.0,6.0,6.0,2.0,5.0,3.0,0.0,0.0,0.0,357.0,12.0,18.0,31.0,38.0,31.0,19.0,26.0,20.0,34.0,21.0,35.0,25.0,14.0,8.0,13.0,4.0,8.0,5.0,1.0,0.0,0.0,363.0,1142221.20685,720.0,374432.451057,3146947.6232,-16.2823223036,28.4430088007
14.0,15.0,TOSCAL,69,CENTRO - IFARA,149.0,199.0,192.0,198.0,221.0,236.0,298.0,367.0,363.0,357.0,373.0,270.0,247.0,235.0,209.0,141.0,124.0,56.0,23.0,10.0,2.0,4270.0,143.0,160.0,218.0,187.0,224.0,260.0,335.0,375.0,370.0,450.0,407.0,356.0,311.0,287.0,294.0,263.0,213.0,147.0,69.0,24.0,11.0,5104.0,554278.637213,9374.0,377710.566485,3150225.11924,-16.2491998695,28.472897882
15.0,16.0,IFARA,36,CENTRO - IFARA,21.0,52.0,42.0,28.0,42.0,33.0,39.0,33.0,53.0,60.0,60.0,66.0,45.0,39.0,32.0,14.0,22.0,4.0,3.0,2.0,0.0,690.0,15.0,28.0,41.0,35.0,44.0,45.0,50.0,39.0,52.0,62.0,73.0,54.0,66.0,39.0,29.0,13.0,7.0,6.0,7.0,0.0,0.0,705.0,342699.156566,1395.0,376929.454644,3151040.87222,-16.2572646546,28.4801861419
16.0,17.0,URBANIZACION ANAGA,71,CENTRO - IFARA,110.0,124.0,131.0,149.0,153.0,156.0,182.0,187.0,208.0,181.0,200.0,172.0,174.0,161.0,113.0,88.0,52.0,25.0,12.0,5.0,1.0,2584.0,98.0,135.0,112.0,137.0,125.0,156.0,183.0,223.0,233.0,191.0,230.0,244.0,225.0,165.0,166.0,89.0,71.0,34.0,26.0,4.0,2.0,2849.0,1069652.7948,5433.0,377736.075247,3151017.18883,-16.2490234842,28.4800483247
17.0,18.0,LOS LAVADEROS,39,CENTRO - IFARA,6.0,6.0,3.0,3.0,6.0,7.0,9.0,12.0,7.0,8.0,5.0,15.0,3.0,9.0,6.0,7.0,6.0,0.0,1.0,0.0,0.0,119.0,7.0,5.0,5.0,2.0,3.0,6.0,15.0,9.0,14.0,8.0,13.0,5.0,8.0,11.0,9.0,5.0,4.0,8.0,0.0,1.0,0.0,138.0,25515.4001797,257.0,377401.506688,3150506.69674,-16.2523863411,28.4754099419
18.0,19.0,CUEVA BERMEJA,28,ANAGA,2.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,14.0,11.0,17.0,8.0,10.0,9.0,9.0,4.0,2.0,2.0,0.0,0.0,0.0,140.0,2.0,3.0,5.0,2.0,4.0,12.0,4.0,9.0,8.0,7.0,17.0,14.0,15.0,5.0,7.0,9.0,6.0,2.0,3.0,0.0,0.0,134.0,2438575.42502,274.0,380905.064596,3153301.48924,-16.2168923254,28.500956923
19.0,20.0,MARIA JIMENEZ,43,ANAGA,48.0,73.0,52.0,50.0,49.0,63.0,69.0,134.0,121.0,109.0,103.0,98.0,41.0,48.0,26.0,35.0,24.0,7.0,3.0,0.0,0.0,1153.0,45.0,46.0,52.0,52.0,62.0,68.0,92.0,106.0,116.0,96.0,123.0,73.0,45.0,49.0,37.0,31.0,26.0,14.0,6.0,1.0,0.0,1140.0,1.1339131225E7,2293.0,379428.304484,3155009.32143,-16.2321578824,28.5162345059
